code,postal_old,postal_new,pref_kana,address1_kana,address2_kana,pref,address1,address2,is_multi_code,is_koaza,is_choume,is_multi_place,is_updated,update_reason
04341,98121,9812146,ﾐﾔｷﾞｹﾝ,ｲｸﾞｸﾞﾝﾏﾙﾓﾘﾏﾁ,ｶｹｲﾘｶﾐ,宮城県,伊具郡丸森町,欠入上,0,0,0,1,0,0
04341,98121,9812146,ﾐﾔｷﾞｹﾝ,ｲｸﾞｸﾞﾝﾏﾙﾓﾘﾏﾁ,ｶｹｲﾘｼﾓ,宮城県,伊具郡丸森町,欠入下,0,0,0,1,0,0
04341,98121,9812146,ﾐﾔｷﾞｹﾝ,ｲｸﾞｸﾞﾝﾏﾙﾓﾘﾏﾁ,ｶｹｲﾘｽｹﾞ,宮城県,伊具郡丸森町,欠入菅,0,0,0,1,0,0
04341,98121,9812146,ﾐﾔｷﾞｹﾝ,ｲｸﾞｸﾞﾝﾏﾙﾓﾘﾏﾁ,ｶｹｲﾘﾏｴﾔﾏ,宮城県,伊具郡丸森町,欠入前山,0,0,0,1,0,0
04341,98121,9812146,ﾐﾔｷﾞｹﾝ,ｲｸﾞｸﾞﾝﾏﾙﾓﾘﾏﾁ,ｾｷﾊﾞ,宮城県,伊具郡丸森町,関場,0,0,0,1,0,0
04341,98121,9812146,ﾐﾔｷﾞｹﾝ,ｲｸﾞｸﾞﾝﾏﾙﾓﾘﾏﾁ,ﾃｶｹﾊﾞｼﾅｶ,宮城県,伊具郡丸森町,手掛橋中,0,0,0,1,0,0
04341,98121,9812146,ﾐﾔｷﾞｹﾝ,ｲｸﾞｸﾞﾝﾏﾙﾓﾘﾏﾁ,ﾃｶｹﾊﾞｼﾋｶﾞｼ,宮城県,伊具郡丸森町,手掛橋東,0,0,0,1,0,0
04341,98121,9812146,ﾐﾔｷﾞｹﾝ,ｲｸﾞｸﾞﾝﾏﾙﾓﾘﾏﾁ,ﾃｶｹﾊﾞｼﾆｼ,宮城県,伊具郡丸森町,手掛橋西,0,0,0,1,0,0
04341,98121,9812146,ﾐﾔｷﾞｹﾝ,ｲｸﾞｸﾞﾝﾏﾙﾓﾘﾏﾁ,ﾅｶﾐﾁ,宮城県,伊具郡丸森町,中道,0,0,0,1,0,0
04341,98121,9812146,ﾐﾔｷﾞｹﾝ,ｲｸﾞｸﾞﾝﾏﾙﾓﾘﾏﾁ,ﾋﾛﾏﾁ,宮城県,伊具郡丸森町,広町,0,0,0,1,0,0
